run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.0871080160140991,learned,0.1060775369405746,0.9080459770114944,0.6271186440677966,0.6486486486486487,
1,0.0871080160140991,learned,0.1139138117432594,0.9885057471264368,0.6440677966101694,0.6486486486486487,
2,0.0871080160140991,learned,0.0618522092700004,0.9540229885057472,0.6101694915254238,0.7297297297297297,
3,0.0871080160140991,learned,0.164750725030899,0.9540229885057472,0.576271186440678,0.7297297297297297,
4,0.0871080160140991,learned,0.080870009958744,1.0,0.6779661016949152,0.6756756756756757,
0,0.0871080160140991,learned,0.8093592524528503,0.8390804597701149,0.6610169491525424,0.6486486486486487,
1,0.0871080160140991,learned,0.7009490728378296,0.8160919540229885,0.6271186440677966,0.6216216216216216,
2,0.0871080160140991,learned,0.787946343421936,0.896551724137931,0.6101694915254238,0.5945945945945946,
3,0.0871080160140991,learned,0.797258734703064,0.9080459770114944,0.6610169491525424,0.5945945945945946,
4,0.0871080160140991,learned,0.8551676273345947,0.942528735632184,0.6610169491525424,0.6756756756756757,
0,0.0871080160140991,learned,0.1119492650032043,1.0,0.6271186440677966,0.6486486486486487,
1,0.0871080160140991,learned,0.0741765201091766,1.0,0.6610169491525424,0.6756756756756757,
2,0.0871080160140991,learned,0.0611176565289497,0.9540229885057472,0.6101694915254238,0.7027027027027027,
3,0.0871080160140991,learned,0.1532695889472961,0.9540229885057472,0.5423728813559322,0.7297297297297297,
4,0.0871080160140991,learned,0.0545205473899841,0.9655172413793104,0.6440677966101694,0.7297297297297297,
0,0.0871080160140991,learned,0.0896995440125465,1.0,0.6271186440677966,0.6486486486486487,
1,0.0871080160140991,learned,0.0765494629740715,1.0,0.6610169491525424,0.6756756756756757,
2,0.0871080160140991,learned,0.0634233728051185,0.9540229885057472,0.6101694915254238,0.7027027027027027,
3,0.0871080160140991,learned,0.1651821434497833,0.9540229885057472,0.5423728813559322,0.7297297297297297,
4,0.0871080160140991,learned,0.0580800175666809,0.9655172413793104,0.6440677966101694,0.7297297297297297,
0,0.0871080160140991,edge,0.3474928140640259,0.9080459770114944,0.6271186440677966,0.5675675675675675,200.0
1,0.0871080160140991,edge,0.2435294687747955,0.8735632183908046,0.6101694915254238,0.5945945945945946,200.0
2,0.0871080160140991,edge,0.3300755023956299,0.9195402298850576,0.5932203389830508,0.6216216216216216,200.0
3,0.0871080160140991,edge,0.3119087219238281,0.896551724137931,0.559322033898305,0.6486486486486487,200.0
4,0.0871080160140991,edge,0.3733268678188324,0.9080459770114944,0.6101694915254238,0.6216216216216216,200.0
0,0.0871080160140991,learned,0.0615225285291671,0.9540229885057472,0.6271186440677966,0.6486486486486487,250.0
1,0.0871080160140991,learned,0.0776375085115432,0.9655172413793104,0.6779661016949152,0.6216216216216216,250.0
2,0.0871080160140991,learned,0.0822895765304565,0.9195402298850576,0.6440677966101694,0.7027027027027027,250.0
3,0.0871080160140991,learned,0.0979601889848709,0.9540229885057472,0.6610169491525424,0.6486486486486487,250.0
4,0.0871080160140991,learned,0.0790041163563728,1.0,0.6101694915254238,0.5675675675675675,250.0
0,0.0871080160140991,learned,0.7419787049293518,0.9195402298850576,0.6440677966101694,0.6216216216216216,250.0
1,0.0871080160140991,learned,0.7893677353858948,0.9080459770114944,0.6610169491525424,0.6216216216216216,250.0
2,0.0871080160140991,learned,0.8563593029975891,0.9540229885057472,0.6610169491525424,0.6216216216216216,250.0
3,0.0871080160140991,learned,0.7041206955909729,0.9310344827586208,0.5932203389830508,0.6486486486486487,250.0
4,0.0871080160140991,learned,0.8132696747779846,0.9540229885057472,0.6101694915254238,0.5675675675675675,250.0
0,0.0871080160140991,learned,0.0400484055280685,0.9655172413793104,0.6440677966101694,0.6756756756756757,500.0
1,0.0871080160140991,learned,0.0541606955230236,1.0,0.5932203389830508,0.6486486486486487,500.0
2,0.0871080160140991,learned,0.1206842437386512,0.9885057471264368,0.6101694915254238,0.5945945945945946,500.0
3,0.0871080160140991,learned,0.0525017008185386,0.8850574712643678,0.6101694915254238,0.7027027027027027,500.0
4,0.0871080160140991,learned,0.0447249114513397,0.9540229885057472,0.6610169491525424,0.6486486486486487,500.0
0,0.0871080160140991,learned,0.6441741585731506,0.942528735632184,0.6949152542372882,0.6486486486486487,500.0
1,0.0871080160140991,learned,0.7477072477340698,0.9080459770114944,0.6779661016949152,0.6486486486486487,500.0
2,0.0871080160140991,learned,0.9223901629447936,0.9195402298850576,0.6271186440677966,0.5675675675675675,500.0
3,0.0871080160140991,learned,0.6266379356384277,0.9310344827586208,0.6101694915254238,0.6216216216216216,500.0
4,0.0871080160140991,learned,0.7682926654815674,0.9655172413793104,0.6440677966101694,0.5945945945945946,500.0
0,0.0871080160140991,learned,0.0426639690995216,0.9655172413793104,0.6440677966101694,0.6756756756756757,500.0
1,0.0871080160140991,learned,0.0545456036925315,1.0,0.5932203389830508,0.6486486486486487,500.0
2,0.0871080160140991,learned,0.1521589457988739,0.9885057471264368,0.6101694915254238,0.5945945945945946,500.0
3,0.0871080160140991,learned,0.0528502017259597,0.8850574712643678,0.6101694915254238,0.7027027027027027,500.0
4,0.0871080160140991,learned,0.0549849793314933,0.9540229885057472,0.6610169491525424,0.6486486486486487,500.0
0,0.0871080160140991,learned,0.0418782830238342,0.9655172413793104,0.6440677966101694,0.6756756756756757,500.0
1,0.0871080160140991,learned,0.0492641180753707,1.0,0.5932203389830508,0.6486486486486487,500.0
2,0.0871080160140991,learned,0.127281904220581,0.9885057471264368,0.6101694915254238,0.5945945945945946,500.0
