run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.1274685859680175,learned,0.0476140081882476,1.0,0.864406779661017,0.7567567567567567,
1,0.1274685859680175,learned,0.035013310611248,1.0,0.7457627118644068,0.7297297297297297,
2,0.1274685859680175,learned,0.0135411694645881,1.0,0.8135593220338985,0.7297297297297297,
3,0.1274685859680175,learned,0.0304330326616764,1.0,0.7627118644067796,0.7297297297297297,
4,0.1274685859680175,learned,0.027304071933031,1.0,0.7966101694915254,0.6756756756756757,
0,0.1274685859680175,learned,0.066828466951847,1.0,0.864406779661017,0.7567567567567567,
1,0.1274685859680175,learned,0.0339440330862998,1.0,0.7457627118644068,0.7297297297297297,
2,0.1274685859680175,learned,0.0132333626970648,1.0,0.8135593220338985,0.7297297297297297,
3,0.1274685859680175,learned,0.0451181009411811,1.0,0.7627118644067796,0.7297297297297297,
4,0.1274685859680175,learned,0.0265265461057424,1.0,0.7966101694915254,0.6756756756756757,
0,0.1274685859680175,learned,0.0223345384001731,1.0,0.8135593220338985,0.7567567567567567,500.0
1,0.1274685859680175,learned,0.0578309744596481,0.9885057471264368,0.7966101694915254,0.7027027027027027,500.0
2,0.1274685859680175,learned,0.030004896223545,0.9885057471264368,0.7966101694915254,0.7297297297297297,500.0
3,0.1274685859680175,learned,0.0530147440731525,1.0,0.7627118644067796,0.7297297297297297,500.0
4,0.1274685859680175,learned,0.0422133170068264,1.0,0.7796610169491526,0.7297297297297297,500.0
0,0.1274685859680175,learned,0.1120348572731018,1.0,0.8135593220338985,0.7567567567567567,500.0
1,0.1274685859680175,learned,0.0361351557075977,0.9885057471264368,0.7966101694915254,0.7027027027027027,500.0
2,0.1274685859680175,learned,0.0356632024049758,0.9885057471264368,0.7966101694915254,0.7297297297297297,500.0
3,0.1274685859680175,learned,0.0545973256230354,1.0,0.7627118644067796,0.7567567567567567,500.0
4,0.12746858596801758,learned,0.039528753608465195,1.0,0.7796610169491526,0.7297297297297297,500.0
